group,task,pc1,pc2
agieval,agieval_aqua_rat,-0.4712139669804919,0.14998387247633957
agieval,agieval_gaokao_biology,0.17561130609526576,-0.035376598255835355
agieval,agieval_gaokao_chemistry,0.10288817783593171,-0.072854481202589
agieval,agieval_gaokao_chinese,-0.3159577030636581,0.3149960410145814
agieval,agieval_gaokao_english,-0.3729534801392874,0.6036420933322618
agieval,agieval_gaokao_geography,0.017424767735780115,0.06592602482006052
agieval,agieval_gaokao_history,0.3665764745950693,0.014210883569955887
agieval,agieval_gaokao_mathcloze,-0.3943219598630876,0.026063920973160116
agieval,agieval_gaokao_mathqa,-0.3643653421516987,0.04660805759545735
agieval,agieval_gaokao_physics,-0.22725537185426856,-0.052470638521715136
agieval,agieval_jec_qa_ca,0.060799011830410934,-0.030893968099571473
agieval,agieval_jec_qa_kd,0.3405027297161051,-0.003737533603666697
agieval,agieval_logiqa_en,-0.5002653448621872,0.03337153823844436
agieval,agieval_logiqa_zh,-0.5208320069699315,-0.016717526022644476
agieval,agieval_lsat_ar,-0.5984534833604603,-0.1581040285985563
agieval,agieval_lsat_lr,-0.4928554167358007,0.09000429639165886
agieval,agieval_lsat_rc,-0.4192423550764195,0.2984358802131878
agieval,agieval_sat_en,-0.4019024521119706,0.42879232596229216
agieval,agieval_sat_en_without_passage,0.25785731732888323,0.054790819582632475
agieval,agieval_sat_math,-0.4190352880110853,0.17185868035792756
bbh,bbh_zeroshot_boolean_expressions,-0.6942799983404696,-0.39760068115341807
bbh,bbh_zeroshot_causal_judgement,-0.46051526697707196,0.12326243835848824
bbh,bbh_zeroshot_date_understanding,-0.31777729953591843,0.11483000407866821
bbh,bbh_zeroshot_disambiguation_qa,-0.24078998659377548,0.4971187058766711
bbh,bbh_zeroshot_dyck_languages,-0.5284631828180028,-0.0507513296761547
bbh,bbh_zeroshot_formal_fallacies,-0.6450926051782706,-0.19775637172581545
bbh,bbh_zeroshot_geometric_shapes,-0.2908801926462239,0.09318345016136446
bbh,bbh_zeroshot_hyperbaton,0.1017754586097758,0.12272971435353959
bbh,bbh_zeroshot_logical_deduction_five_objects,-0.6943612521412823,-0.3845820486990327
