model,alpha,trait,total,high,low,invalid,high_rate,low_rate,invalid_rate,trait_score
llama3b,-0.2,Conscientiousness,1000,794,206,0,0.794,0.206,0.0,0.588
llama3b,-0.2,Extraversion,1000,300,700,0,0.3,0.7,0.0,-0.4
llama3b,-0.2,Agreeableness,1000,686,314,0,0.686,0.314,0.0,0.372
llama3b,-0.2,Neuroticism,1000,282,718,0,0.282,0.718,0.0,-0.436
llama3b,-0.2,Machiavellianism,1000,206,794,0,0.206,0.794,0.0,-0.588
llama3b,-0.2,Narcissism,1000,155,845,0,0.155,0.845,0.0,-0.69
llama3b,-0.2,Psychopathy,1000,103,897,0,0.103,0.897,0.0,-0.794
llama1b,-0.1,Openness,1000,532,468,0,0.532,0.468,0.0,0.064
llama1b,-0.1,Conscientiousness,1000,569,431,0,0.569,0.431,0.0,0.138
llama1b,-0.1,Extraversion,1000,445,555,0,0.445,0.555,0.0,-0.11
llama1b,-0.1,Agreeableness,1000,558,442,0,0.558,0.442,0.0,0.116
llama1b,-0.1,Neuroticism,1000,373,627,0,0.373,0.627,0.0,-0.254
llama1b,-0.1,Machiavellianism,1000,416,584,0,0.416,0.584,0.0,-0.168
llama1b,-0.1,Narcissism,1000,348,652,0,0.348,0.652,0.0,-0.304
llama1b,-0.1,Psychopathy,1000,379,621,0,0.379,0.621,0.0,-0.242
llama1b,0.3,Openness,1000,552,448,0,0.552,0.448,0.0,0.104
llama1b,0.3,Conscientiousness,1000,586,414,0,0.586,0.414,0.0,0.172
llama1b,0.3,Extraversion,1000,462,538,0,0.462,0.538,0.0,-0.076
llama1b,0.3,Agreeableness,1000,582,418,0,0.582,0.418,0.0,0.164
llama1b,0.3,Neuroticism,1000,413,587,0,0.413,0.587,0.0,-0.174
llama1b,0.3,Machiavellianism,1000,375,625,0,0.375,0.625,0.0,-0.25
llama1b,0.3,Narcissism,1000,359,641,0,0.359,0.641,0.0,-0.282
llama1b,0.3,Psychopathy,1000,288,712,0,0.288,0.712,0.0,-0.424
qwen3_8b,0.4,Openness,1000,467,350,183,0.467,0.35,0.183,0.14320685434516525
qwen3_8b,0.4,Conscientiousness,1000,417,454,129,0.417,0.454,0.129,-0.04247990815154994
qwen3_8b,0.4,Extraversion,1000,436,467,97,0.436,0.467,0.097,-0.03433001107419712
qwen3_8b,0.4,Agreeableness,1000,588,339,73,0.588,0.339,0.073,0.2686084142394822
qwen3_8b,0.4,Neuroticism,1000,203,669,128,0.203,0.669,0.128,-0.5344036697247706
qwen3_8b,0.4,Machiavellianism,1000,217,528,255,0.217,0.528,0.255,-0.4174496644295302
qwen3_8b,0.4,Narcissism,1000,196,636,168,0.196,0.636,0.168,-0.5288461538461539
qwen3_8b,0.4,Psychopathy,1000,210,608,182,0.21,0.608,0.182,-0.48655256723716384
qwen3_8b,-0.4,Openness,1000,435,335,230,0.435,0.335,0.23,0.12987012987012986
qwen3_8b,-0.4,Conscientiousness,1000,557,240,203,0.557,0.24,0.203,0.397741530740276
qwen3_8b,-0.4,Extraversion,1000,293,481,226,0.293,0.481,0.226,-0.24289405684754523
qwen3_8b,-0.4,Agreeableness,1000,487,335,178,0.487,0.335,0.178,0.18491484184914841
qwen3_8b,-0.4,Neuroticism,1000,294,535,171,0.294,0.535,0.171,-0.29071170084439085
qwen3_8b,-0.4,Machiavellianism,1000,262,527,211,0.262,0.527,0.211,-0.3358681875792142
qwen3_8b,-0.4,Narcissism,1000,265,566,169,0.265,0.566,0.169,-0.3622141997593261
qwen3_8b,-0.4,Psychopathy,1000,231,644,125,0.231,0.644,0.125,-0.472
qwen3_8b,0.0,Openness,1000,592,408,0,0.592,0.408,0.0,0.184
qwen3_8b,0.0,Conscientiousness,1000,737,263,0,0.737,0.263,0.0,0.474
qwen3_8b,0.0,Extraversion,1000,405,595,0,0.405,0.595,0.0,-0.19
qwen3_8b,0.0,Agreeableness,1000,800,200,0,0.8,0.2,0.0,0.6
qwen3_8b,0.0,Neuroticism,1000,205,795,0,0.205,0.795,0.0,-0.59
qwen3_8b,0.0,Machiavellianism,1000,242,758,0,0.242,0.758,0.0,-0.516
qwen3_8b,0.0,Narcissism,1000,148,852,0,0.148,0.852,0.0,-0.704
qwen3_8b,0.0,Psychopathy,1000,83,917,0,0.083,0.917,0.0,-0.834
llama3b,0.0,Openness,1000,614,385,1,0.614,0.385,0.001,0.22922922922922923
llama3b,0.0,Conscientiousness,1000,823,177,0,0.823,0.177,0.0,0.646
llama3b,0.0,Extraversion,1000,294,706,0,0.294,0.706,0.0,-0.412
llama3b,0.0,Agreeableness,1000,769,231,0,0.769,0.231,0.0,0.538
llama3b,0.0,Neuroticism,1000,306,694,0,0.306,0.694,0.0,-0.388
llama3b,0.0,Machiavellianism,1000,141,850,9,0.141,0.85,0.009,-0.715438950554995
llama3b,0.0,Narcissism,1000,82,916,2,0.082,0.916,0.002,-0.8356713426853707
llama3b,0.0,Psychopathy,1000,92,731,177,0.092,0.731,0.177,-0.7764277035236938
llama1b,0.2,Openness,1000,496,504,0,0.496,0.504,0.0,-0.008
llama1b,0.2,Conscientiousness,1000,507,493,0,0.507,0.493,0.0,0.014
llama1b,0.2,Extraversion,1000,482,518,0,0.482,0.518,0.0,-0.036
llama1b,0.2,Agreeableness,1000,514,486,0,0.514,0.486,0.0,0.028
llama1b,0.2,Neuroticism,1000,455,545,0,0.455,0.545,0.0,-0.09
llama1b,0.2,Machiavellianism,1000,478,522,0,0.478,0.522,0.0,-0.044
llama1b,0.2,Narcissism,1000,446,554,0,0.446,0.554,0.0,-0.108
llama1b,0.2,Psychopathy,1000,458,542,0,0.458,0.542,0.0,-0.084
llama1b,-0.2,Openness,1000,523,431,46,0.523,0.431,0.046,0.09643605870020965
llama1b,-0.2,Conscientiousness,1000,566,388,46,0.566,0.388,0.046,0.18658280922431866
llama1b,-0.2,Extraversion,1000,393,517,90,0.393,0.517,0.09,-0.13626373626373625
llama1b,-0.2,Agreeableness,1000,507,321,172,0.507,0.321,0.172,0.2246376811594203
llama1b,-0.2,Neuroticism,1000,322,639,39,0.322,0.639,0.039,-0.3298647242455775
llama1b,-0.2,Machiavellianism,1000,263,585,152,0.263,0.585,0.152,-0.37971698113207547
llama1b,-0.2,Narcissism,1000,238,647,115,0.238,0.647,0.115,-0.46214689265536724
llama1b,-0.2,Psychopathy,1000,144,781,75,0.144,0.781,0.075,-0.6886486486486486
qwen3_8b,0.3,Openness,1000,595,405,0,0.595,0.405,0.0,0.19
qwen3_8b,0.3,Conscientiousness,1000,588,412,0,0.588,0.412,0.0,0.176
qwen3_8b,0.3,Extraversion,1000,487,513,0,0.487,0.513,0.0,-0.026
qwen3_8b,0.3,Agreeableness,1000,671,329,0,0.671,0.329,0.0,0.342
qwen3_8b,0.3,Neuroticism,1000,259,741,0,0.259,0.741,0.0,-0.482
qwen3_8b,0.3,Machiavellianism,1000,311,689,0,0.311,0.689,0.0,-0.378
qwen3_8b,0.3,Narcissism,1000,213,787,0,0.213,0.787,0.0,-0.574
qwen3_8b,0.3,Psychopathy,1000,241,759,0,0.241,0.759,0.0,-0.518
qwen3_8b,-0.1,Openness,1000,595,405,0,0.595,0.405,0.0,0.19
qwen3_8b,-0.1,Conscientiousness,1000,748,252,0,0.748,0.252,0.0,0.496
qwen3_8b,-0.1,Extraversion,1000,384,616,0,0.384,0.616,0.0,-0.232
qwen3_8b,-0.1,Agreeableness,1000,817,183,0,0.817,0.183,0.0,0.634
qwen3_8b,-0.1,Neuroticism,1000,220,780,0,0.22,0.78,0.0,-0.56
qwen3_8b,-0.1,Machiavellianism,1000,243,757,0,0.243,0.757,0.0,-0.514
qwen3_8b,-0.1,Narcissism,1000,144,856,0,0.144,0.856,0.0,-0.712
qwen3_8b,-0.1,Psychopathy,1000,45,955,0,0.045,0.955,0.0,-0.91
llama3b,0.3,Openness,1000,573,426,1,0.573,0.426,0.001,0.14714714714714713
llama3b,0.3,Conscientiousness,1000,712,287,1,0.712,0.287,0.001,0.42542542542542544
llama3b,0.3,Extraversion,1000,414,584,2,0.414,0.584,0.002,-0.17034068136272545
llama3b,0.3,Agreeableness,1000,692,307,1,0.692,0.307,0.001,0.38538538538538536
llama3b,0.3,Neuroticism,1000,425,570,5,0.425,0.57,0.005,-0.1457286432160804
llama3b,0.3,Machiavellianism,1000,278,714,8,0.278,0.714,0.008,-0.43951612903225806
llama3b,0.3,Narcissism,1000,253,744,3,0.253,0.744,0.003,-0.49247743229689067
llama3b,0.3,Psychopathy,1000,167,731,102,0.167,0.731,0.102,-0.6280623608017817
llama3b,-0.1,Openness,1000,578,421,1,0.578,0.421,0.001,0.15715715715715717
llama3b,-0.1,Conscientiousness,1000,820,180,0,0.82,0.18,0.0,0.64
llama3b,-0.1,Extraversion,1000,296,704,0,0.296,0.704,0.0,-0.408
llama3b,-0.1,Agreeableness,1000,757,243,0,0.757,0.243,0.0,0.514
llama3b,-0.1,Neuroticism,1000,300,700,0,0.3,0.7,0.0,-0.4
llama3b,-0.1,Machiavellianism,1000,183,816,1,0.183,0.816,0.001,-0.6336336336336337
llama3b,-0.1,Narcissism,1000,100,899,1,0.1,0.899,0.001,-0.7997997997997998
llama3b,-0.1,Psychopathy,1000,60,915,25,0.06,0.915,0.025,-0.8769230769230769
llama1b,0.0,Openness,1000,526,474,0,0.526,0.474,0.0,0.052
llama1b,0.0,Conscientiousness,1000,534,466,0,0.534,0.466,0.0,0.068
llama1b,0.0,Extraversion,1000,466,534,0,0.466,0.534,0.0,-0.068
llama1b,0.0,Agreeableness,1000,531,469,0,0.531,0.469,0.0,0.062
llama1b,0.0,Neuroticism,1000,400,600,0,0.4,0.6,0.0,-0.2
llama1b,0.0,Machiavellianism,1000,455,545,0,0.455,0.545,0.0,-0.09
llama1b,0.0,Narcissism,1000,405,595,0,0.405,0.595,0.0,-0.19
llama1b,0.0,Psychopathy,1000,422,578,0,0.422,0.578,0.0,-0.156
qwen3_8b,-0.3,Openness,1000,568,429,3,0.568,0.429,0.003,0.13941825476429287
qwen3_8b,-0.3,Conscientiousness,1000,740,253,7,0.74,0.253,0.007,0.4904330312185297
qwen3_8b,-0.3,Extraversion,1000,392,605,3,0.392,0.605,0.003,-0.2136409227683049
qwen3_8b,-0.3,Agreeableness,1000,737,257,6,0.737,0.257,0.006,0.482897384305835
qwen3_8b,-0.3,Neuroticism,1000,271,723,6,0.271,0.723,0.006,-0.45472837022132795
qwen3_8b,-0.3,Machiavellianism,1000,295,703,2,0.295,0.703,0.002,-0.4088176352705411
qwen3_8b,-0.3,Narcissism,1000,211,789,0,0.211,0.789,0.0,-0.578
qwen3_8b,-0.3,Psychopathy,1000,75,923,2,0.075,0.923,0.002,-0.8496993987975952
qwen3_8b,0.1,Openness,1000,594,406,0,0.594,0.406,0.0,0.188
qwen3_8b,0.1,Conscientiousness,1000,724,276,0,0.724,0.276,0.0,0.448
qwen3_8b,0.1,Extraversion,1000,395,605,0,0.395,0.605,0.0,-0.21
qwen3_8b,0.1,Agreeableness,1000,796,204,0,0.796,0.204,0.0,0.592
qwen3_8b,0.1,Neuroticism,1000,200,800,0,0.2,0.8,0.0,-0.6
qwen3_8b,0.1,Machiavellianism,1000,216,784,0,0.216,0.784,0.0,-0.568
qwen3_8b,0.1,Narcissism,1000,136,864,0,0.136,0.864,0.0,-0.728
qwen3_8b,0.1,Psychopathy,1000,89,911,0,0.089,0.911,0.0,-0.822
llama3b,0.1,Openness,1000,640,359,1,0.64,0.359,0.001,0.28128128128128127
llama3b,0.1,Conscientiousness,1000,788,211,1,0.788,0.211,0.001,0.5775775775775776
llama3b,0.1,Extraversion,1000,328,672,0,0.328,0.672,0.0,-0.344
llama3b,0.1,Agreeableness,1000,778,222,0,0.778,0.222,0.0,0.556
llama3b,0.1,Neuroticism,1000,298,701,1,0.298,0.701,0.001,-0.4034034034034034
llama3b,0.1,Machiavellianism,1000,147,846,7,0.147,0.846,0.007,-0.7039274924471299
llama3b,0.1,Narcissism,1000,85,914,1,0.085,0.914,0.001,-0.8298298298298298
llama3b,0.1,Psychopathy,1000,104,676,220,0.104,0.676,0.22,-0.7333333333333333
llama3b,-0.3,Openness,1000,86,99,815,0.086,0.099,0.815,-0.07027027027027027
llama3b,-0.3,Conscientiousness,1000,105,87,808,0.105,0.087,0.808,0.09375
llama3b,-0.3,Extraversion,1000,73,87,840,0.073,0.087,0.84,-0.0875
llama3b,-0.3,Agreeableness,1000,86,93,821,0.086,0.093,0.821,-0.03910614525139665
llama3b,-0.3,Neuroticism,1000,72,88,840,0.072,0.088,0.84,-0.1
llama3b,-0.3,Machiavellianism,1000,126,115,759,0.126,0.115,0.759,0.04564315352697095
llama3b,-0.3,Narcissism,1000,72,95,833,0.072,0.095,0.833,-0.1377245508982036
llama3b,-0.3,Psychopathy,1000,102,145,753,0.102,0.145,0.753,-0.17408906882591094
