model,trait,positive_slope,negative_slope,asymmetry
llama32_1b_instruct,Openness,0.13217199999999998,-0.07771799999999987,0.20988999999999985
llama32_1b_instruct,Conscientiousness,-0.050687333333333154,-0.02846733333333332,-0.022219999999999834
llama32_1b_instruct,Extraversion,0.08812133333333327,-0.0023826666666667547,0.09050400000000003
llama32_1b_instruct,Agreeableness,-0.08448000000000017,-0.026012000000000143,-0.05846800000000002
llama32_1b_instruct,Neuroticism,0.07715200000000003,0.050405333333333406,0.02674666666666662
llama32_1b_instruct,Machiavellianism,0.06268266666666657,-0.012839333333333387,0.07552199999999995
llama32_1b_instruct,Narcissism,-0.005989999999999939,0.1151573333333334,-0.12114733333333334
llama32_1b_instruct,Psychopathy,-0.05797399999999991,0.11827400000000002,-0.17624799999999993
llama32_3b_instruct,Openness,0.16165866666666678,-0.11670133333333328,0.27836000000000005
llama32_3b_instruct,Conscientiousness,-0.06554733333333354,-0.06536800000000023,-0.00017933333333330914
llama32_3b_instruct,Extraversion,0.11535533333333346,-0.07898666666666664,0.1943420000000001
llama32_3b_instruct,Agreeableness,-0.1073726666666667,-0.046054666666666494,-0.061318000000000206
llama32_3b_instruct,Neuroticism,0.0216539999999998,0.06998999999999976,-0.04833599999999996
llama32_3b_instruct,Machiavellianism,0.2843393333333333,-0.04735999999999991,0.3316993333333332
llama32_3b_instruct,Narcissism,0.09784133333333328,0.019839333333333337,0.07800199999999995
llama32_3b_instruct,Psychopathy,0.12865666666666659,0.028841333333333292,0.0998153333333333
llama31_8b_instruct,Openness,0.09597600000000005,-0.1606979999999999,0.25667399999999996
llama31_8b_instruct,Conscientiousness,0.018642000000000415,-0.022285333333333116,0.04092733333333353
llama31_8b_instruct,Extraversion,-0.05509200000000006,-0.01014,-0.04495200000000006
llama31_8b_instruct,Agreeableness,0.05127133333333351,-0.10565133333333315,0.15692266666666665
llama31_8b_instruct,Neuroticism,0.18788066666666675,0.01629133333333336,0.1715893333333334
llama31_8b_instruct,Machiavellianism,0.22656533333333337,-0.09693933333333332,0.32350466666666666
llama31_8b_instruct,Narcissism,0.006927999999999953,0.08238999999999994,-0.07546199999999999
llama31_8b_instruct,Psychopathy,0.058545333333333276,0.014898666666666631,0.043646666666666646
qwen3_8b,Openness,0.002232000000000049,-0.020729333333333152,0.022961333333333202
qwen3_8b,Conscientiousness,0.06301399999999968,-0.15342066666666687,0.21643466666666655
qwen3_8b,Extraversion,0.029250666666666824,0.1054506666666668,-0.07619999999999998
qwen3_8b,Agreeableness,-0.05665599999999989,-0.06954133333333337,0.012885333333333485
qwen3_8b,Neuroticism,-0.11207133333333347,-0.010964000000000047,-0.10110733333333342
qwen3_8b,Machiavellianism,0.02739866666666686,0.18919133333333357,-0.16179266666666672
qwen3_8b,Narcissism,-0.10627133333333333,0.17240133333333324,-0.27867266666666657
qwen3_8b,Psychopathy,-0.004915333333333327,0.13770666666666667,-0.142622
